,Interest Score,HST,SPY,XTN,sentiment,total_cases,new_cases,total_deaths,new_deaths,S&P 500 Daily Movement
2020-06-05,39,0.07274117754530818,0.025629532893630236,0.026998232297720914,neutral,1904627.0,25403.0,112526.0,889.0,pos
2020-06-08,42,0.05781580676012821,0.012087480157219055,0.021964726123603784,negative,1961313.0,17616.0,114137.0,509.0,pos
2020-06-09,42,-0.024966254600416904,-0.007456694217466864,-0.0277542627418087,neutral,1979696.0,18383.0,115044.0,907.0,neg
2020-06-10,42,-0.08027680710890628,-0.0055800009265912776,-0.027154070540889585,negative,2000807.0,21111.0,115923.0,879.0,neg
2020-06-11,42,-0.08427388177380557,-0.057648948741183426,-0.08409377016042618,neutral,2023973.0,23166.0,116751.0,828.0,neg
2020-06-12,42,0.03861957798540416,0.011975670399988259,0.032037570782235125,neutral,2048801.0,24828.0,117580.0,829.0,pos
2020-06-15,51,-0.0150316874127292,0.009335644514194108,0.013439315916421224,neutral,2112781.0,19827.0,119061.0,396.0,pos
2020-06-16,51,0.028915712117814962,0.019247692222981838,0.014755339970459858,neutral,2136448.0,23667.0,119874.0,813.0,pos
2020-06-17,51,-0.039032004966551015,-0.004153846588902832,-0.0011043874704366186,neutral,2163520.0,27072.0,120613.0,739.0,neg
2020-06-18,51,-0.008935873810066663,0.00038501930237289095,0.001474074363048583,neutral,2192057.0,28537.0,121301.0,688.0,pos
2020-06-19,51,-0.04344260174239423,-0.010071153195051807,-0.01858322630890441,neutral,2223601.0,31544.0,121928.0,627.0,neg
2020-06-22,70,-0.03256213470065328,0.006415177471415401,-0.010873675091779056,neutral,2313175.0,32144.0,123213.0,407.0,pos
2020-06-23,70,-0.004428714871904771,0.00460367232715253,0.011561801170539399,neutral,2350247.0,37072.0,123961.0,748.0,pos
2020-06-24,70,-0.02313169343205168,-0.025508706189596886,-0.04234585660040202,neutral,2386125.0,35878.0,124698.0,737.0,neg
2020-06-25,70,-0.010928951781599139,0.010720542618582574,0.007630588632187463,neutral,2426451.0,40326.0,125236.0,538.0,pos
2020-06-26,70,-0.011049713568388575,-0.023751482562483606,-0.02019419253451149,neutral,2472450.0,45999.0,125864.0,628.0,neg
