,Interest Score,HST,XTN,sentiment,Principal Component 1
2020-05-04,53,-0.028846148235173064,-0.016584114854675924,neutral,-7582781.176412194
2020-05-05,53,-0.012601205578282482,0.007446345898469486,neutral,-7558219.926630492
2020-05-06,53,-0.04010943695052338,-0.012608735457710574,negative,-7533618.754324243
2020-05-07,53,0.04938276077400672,0.020035308207730473,neutral,-7506147.38705278
2020-05-08,53,0.0009049980732327434,0.04036259136582454,neutral,-7479297.674987781
2020-05-11,54,-0.08047019073744288,-0.009751062515843456,neutral,-7416017.89892813
2020-05-12,54,-0.03343167650317169,-0.03163625258778824,neutral,-7393048.350828838
2020-05-13,54,-0.038657183864722944,-0.027477291739983922,positive,-7372606.336113622
2020-05-14,54,0.06243387984086857,0.0031145581150660018,neutral,-7345728.4467342235
2020-05-15,54,0.001992077474070042,-0.0062097755233829766,neutral,-7320985.528524907
2020-05-18,52,0.17097407968299327,0.07587586714978789,neutral,-7256046.377366814
2020-05-19,52,-0.019524579579792256,-0.012860380494893131,negative,-7235056.134278864
2020-05-20,52,-0.0008658206681120273,0.02500522426756646,neutral,-7212301.108684386
2020-05-21,52,-0.009532032672518564,0.002255035118989168,neutral,-7186499.7208415065
2020-05-22,52,-0.017497879055076493,0.005931702171154907,neutral,-7162847.625066601
2020-05-26,47,0.08370441428089559,0.04188697357682236,neutral,-7083334.798789262
2020-05-27,47,0.028759275207524082,0.034738460596985155,neutral,-7064770.463864112
2020-05-28,47,-0.03913743665150027,-0.018106357528936745,negative,-7042414.803084113
2020-05-29,47,-0.007481309608114328,0.0026891929687935523,negative,-7017910.229706479
2020-06-01,39,0.02596318513494844,0.005747111737085309,negative,-6957894.713303261
2020-06-02,39,0.002448957793566686,0.012190464564732162,negative,-6936356.742772724
2020-06-03,39,0.026872958540872016,0.03199098198090322,negative,-6916496.629902512
2020-06-04,39,0.035686024995343235,0.026622886221924214,negative,-6894815.659628389
2020-06-05,39,0.07274117754530818,0.026998232297720914,negative,-6869380.624969777
2020-06-08,42,0.05781580676012821,0.021964726123603784,negative,-6812723.139259099
2020-06-09,42,-0.024966254600416904,-0.0277542627418087,neutral,-6794324.2505942155
2020-06-10,42,-0.08027680710890628,-0.027154070540889585,negative,-6773186.73033071
2020-06-11,42,-0.08427388177380557,-0.08409377016042618,negative,-6749999.194644449
2020-06-12,42,0.03861957798540416,0.032037570782235125,neutral,-6725152.156896117
2020-06-15,51,-0.0150316874127292,0.013439315916421224,neutral,-6661187.354447174
2020-06-16,51,0.028915712117814962,0.014755339970459858,neutral,-6637488.650159326
2020-06-17,51,-0.039032004966551015,-0.0011043874704366186,negative,-6610389.107408203
2020-06-18,51,-0.008935873810066663,0.001474074363048583,neutral,-6581836.868344434
2020-06-19,51,-0.04344260174239423,-0.01858322630890441,neutral,-6550269.952939767
2020-06-22,70,-0.03256213470065328,-0.010873675091779056,neutral,-6460684.813727885
2020-06-23,70,-0.004428714871904771,0.011561801170539399,negative,-6423577.5371361505
2020-06-24,70,-0.02313169343205168,-0.04234585660040202,neutral,-6387700.059214301
2020-06-25,70,-0.010928951781599139,0.007630588632187463,negative,-6347345.264021315
2020-06-26,70,-0.011049713568388575,-0.02019419253451149,negative,-6301309.674193589
2020-06-29,79,0.02048419662171974,0.03606816741667873,negative,-6177972.174383949
2020-06-30,79,-0.015510955812249039,0.011094143928793931,negative,-6131519.971904631
2020-07-01,79,0.009267875979913631,-0.010972414384367357,neutral,-6079664.635376796
2020-07-02,79,0.005509592658476947,0.008607512881535495,neutral,-6022997.2257571835
2020-07-06,79,0.023744313553488938,0.022378158835950845,negative,-5832178.997796065
2020-07-07,79,-0.03300623410347847,-0.012057160595783434,neutral,-5771405.771884586
2020-07-08,79,-0.010147657638667207,0.006759305702155993,negative,-5711285.445844394
2020-07-09,79,-0.020503198764222907,-0.025363682160441936,negative,-5648755.250083764
2020-07-10,79,0.03139865999233793,0.028702641564799736,negative,-5580662.487288363
2020-07-13,85,-0.0018450606533337854,-0.014322854670886231,neutral,-5403343.33323972
2020-07-14,85,-0.019408506845654205,0.014530979782537035,negative,-5335233.9364150595
2020-07-15,85,0.0951932386016816,0.042782796197308626,negative,-5267137.93131606
2020-07-16,85,-0.031841642788560165,-0.006600120184055425,neutral,-5191222.060573078
2020-07-17,85,-0.021333312988281228,0.008978272801755782,negative,-5119002.793932889
2020-07-20,73,-0.03723885911796643,-0.01672893129885522,neutral,-4933958.589557636
2020-07-21,73,0.02735848598269741,0.005429850444534701,neutral,-4869475.847921889
2020-07-22,73,-0.0018365892684232277,-0.00774077967743525,negative,-4798851.860115488
2020-07-23,73,-0.012879516540634572,0.001632803961028939,negative,-4730412.1483324915
2020-07-24,73,-0.021435186584210397,-0.00978085354975522,neutral,-4657057.58431267
2020-07-27,72,-0.017142886207217267,0.005121686544214965,neutral,-4480586.2260754295
2020-07-28,72,0.019379919462571227,-0.010555083221142847,neutral,-4414106.506018966
2020-07-29,72,0.04752851504212674,0.009380212364348273,negative,-4342189.667264101
2020-07-30,72,-0.01633396530841069,-0.005284273139269935,negative,-4274739.58948482
2020-07-31,72,-0.00553509398266705,-0.0016486563901140228,negative,-4206010.610547503
2020-08-03,63,-0.0435991952687137,0.0022018152639406985,negative,-4058863.7588229887
2020-08-04,63,0.058195868416629715,0.014280531110351324,neutral,-4000000.457374903
2020-08-05,63,-0.0018331351392364414,0.014620894156751607,negative,-3945544.932687026
2020-08-06,63,-0.011937567524561876,0.0065825076073384725,neutral,-3886156.4452466494
2020-08-07,63,0.0687732114662849,0.014492747760466607,neutral,-3826842.6987526454
2020-08-10,55,0.03304348821225367,0.03031355082778253,neutral,-3679387.6937904432
2020-08-11,55,-0.017676770717510726,0.005241822395846585,neutral,-3631373.1157750874
2020-08-12,55,-0.008569012923390074,0.0031959398531653527,neutral,-3575270.6543910224
2020-08-13,55,-0.02592906179545973,-0.010395689775818062,negative,-3523972.9036668334
2020-08-14,55,-0.0017746634384467885,0.0011860334510556125,neutral,-3458543.308031819
2020-08-17,52,-0.0319999694824219,-0.00947709209417713,neutral,-3335880.1527902987
2020-08-18,52,-0.010101065829535072,-0.0056381005166559195,neutral,-3290785.448338344
2020-08-19,52,0.00092766503984687,0.004982833534806552,neutral,-3243438.0042586974
2020-08-20,52,-0.004633937989956816,0.003248394960790879,neutral,-3199405.2167020156
2020-08-21,52,-0.013035325198509029,0.0005112266383922037,neutral,-3150524.089761868
2020-08-24,45,0.0462263918381316,0.022653753224234574,negative,-3036789.074541634
2020-08-25,45,0.01893598153810383,-0.0026648874912114096,neutral,-2996399.0237285984
2020-08-26,45,-0.025663713005138256,-0.0010020269241939328,neutral,-2951187.1900541293
2020-08-27,45,0.029064458507892077,0.01337344100872273,negative,-2905781.954676326
2020-08-28,45,0.03177402110339034,0.013691881321002963,negative,-2858932.891542727
2020-08-31,49,-0.03934987636089293,-0.015297028962335979,negative,-2746466.0062755113
2020-09-01,49,0.00445237691656275,0.00842839448648558,negative,-2704571.9810759155
2020-09-02,49,0.012411378247956462,0.0108161232786117,negative,-2663547.923634614
2020-09-03,49,0.013134817646949681,-0.021562934897441655,neutral,-2619268.2212106283
2020-09-04,49,0.03197924765068061,0.004639645419613592,neutral,-2568842.5374419135
2020-09-08,44,-0.025125565125934113,-0.004618218523195661,negative,-2443749.2882417445
2020-09-09,44,0.0008590442364768691,0.008947819870433138,negative,-2409647.2141993484
2020-09-10,44,-0.021459228170476075,-0.004926904911606078,negative,-2373570.304533931
2020-09-11,44,-0.02368416781790772,0.0001650160341313267,negative,-2325721.4838505425
2020-09-14,41,0.07097933097305376,0.006765674220061246,neutral,-2215894.2768963245
2020-09-15,41,0.008389293693764621,0.007211972684991075,negative,-2176359.6057295552
2020-09-16,41,0.0033277837212719596,0.0063466132596641245,negative,-2137322.8594258674
2020-09-17,41,-0.03399674849260548,-0.0019404743141764325,negative,-2092150.1683666222
2020-09-18,41,-0.04291845634095204,-0.018956609859076212,negative,-2042836.8963404677
2020-09-21,42,-0.05919281345223104,-0.038976063420114615,negative,-1910290.7372675003
2020-09-22,42,-0.008579614351916898,0.002749610778280287,neutral,-1870484.4859570297
2020-09-23,42,-0.015384601277006582,-0.014567240725774422,negative,-1831409.2481675
2020-09-24,42,-0.004882831235591301,-0.003999992038892675,negative,-1784251.8861420266
2020-09-25,42,0.044161018790005224,0.011698937726383196,neutral,-1735942.0262777908
2020-09-28,54,0.02725563463304015,0.023127376326346427,negative,-1620528.1119891247
2020-09-29,54,-0.01829833095656408,-0.015856927227827056,positive,-1577124.4324101303
2020-09-30,54,0.005591838040674757,-0.003256747106822888,neutral,-1537694.8283666773
2020-10-01,54,0.03243747754468185,0.004815112157344759,neutral,-1492001.412686934
2020-10-02,54,0.013464956365121017,0.01625878415159443,neutral,-1436991.2991988414
2020-10-05,56,0.007971669875286524,0.01178849360639922,negative,-1313384.2993300701
2020-10-06,56,-0.007029870202245103,-0.012150521549356252,negative,-1268056.319674288
2020-10-07,56,0.027433580593791307,0.023925897559403442,neutral,-1216959.3460002
2020-10-08,56,0.020671897664910732,0.012835260382118685,neutral,-1158309.0101383054
2020-10-09,56,-0.022784848022948667,0.004711631504825897,neutral,-1101930.6933863554
2020-10-12,48,-0.007772033953441282,-0.002425639157645265,neutral,-959303.9471693805
2020-10-13,48,-0.027850278607366552,-0.010374443246807696,neutral,-907006.5795645043
2020-10-14,48,-0.01969563702114152,0.008517616122229343,neutral,-847177.3985385344
2020-10-15,48,0.006392753398891005,0.004060419055370135,neutral,-782263.416712682
2020-10-16,48,-0.006352145697890554,-0.01099968147092556,neutral,-713086.2457047253
2020-10-19,52,-0.025570752314924672,-0.00981351782974793,neutral,-539248.3393434929
2020-10-20,52,0.010309246100348002,0.018665299575972627,negative,-477320.1451767809
2020-10-21,52,0.02411876023397408,-0.01037780782634623,negative,-414002.65041678067
2020-10-22,52,0.039855034592721994,0.026052763958554603,neutral,-337613.2156595995
2020-10-23,52,0.013937352566762984,0.006228032518375892,neutral,-255643.57101767496
2020-10-26,56,-0.038659858218783816,-0.03126483825556026,neutral,-43446.65254036699
2020-10-27,56,-0.029490610909812975,-0.019823051545283632,negative,33451.648947666414
2020-10-28,56,-0.03775320997915699,-0.039779391530619934,negative,112897.94936065213
2020-10-29,56,0.00669862677284172,0.026457796998746286,negative,203987.84425292164
2020-10-30,56,-0.003802368230680364,-0.006783135791058381,neutral,303302.92763660534
2020-11-02,49,0.043893135328211486,0.006487981391415598,negative,583078.9420080169
2020-11-03,49,0.04021942878741869,0.026123848949896944,neutral,710529.3514170696
2020-11-04,49,-0.03427068008794254,-0.004298266308744747,neutral,814941.0419357718
2020-11-05,49,-0.005459460163053098,0.033372109438934316,neutral,944453.4970509155
2020-11-06,49,-0.04025622340095081,-0.009961483448939767,negative,1072480.412680605
2020-11-09,78,0.30028604775353784,0.07286598111483378,neutral,1435538.6833205454
2020-11-10,78,-0.01906159987811984,0.004537937513055201,positive,1576162.8818008546
2020-11-11,78,-0.04185354370903893,-0.014455754569020263,neutral,1722951.672725428
2020-11-12,78,-0.04758187762855559,-0.019556895935520013,negative,1887803.2631060726
2020-11-13,78,0.08517608178573455,0.03381639755126975,neutral,2068286.9542942767
2020-11-16,100,0.036226380546138026,0.030147725511068257,neutral,2535071.9635974
2020-11-17,100,0.029861676238602808,0.0024876471678354495,negative,2699042.1800261512
2020-11-18,100,0.0007071623030221463,-0.0016056138800408792,neutral,2872353.6466865563
2020-11-19,100,0.021201427478626522,0.001608196021895436,negative,3063976.1548941974
2020-11-20,100,-0.020761259148426192,-0.01488839936733155,neutral,3262352.3903839057
2020-11-23,80,0.03957600245326831,0.018817666508516906,negative,3762673.2576869456
2020-11-24,80,0.008157708038605715,0.03635834674709404,neutral,3938234.9291638127
2020-11-25,80,-0.006743114091988245,-0.00449059339364688,neutral,4121693.8434478194
2020-11-27,80,-0.007467729809619961,-0.0040879744227084736,positive,4442298.17843256
2020-11-30,78,-0.04035568790740307,-0.014437427465409325,neutral,4898326.414381854
2020-12-01,78,0.03421243799332507,0.00976591026854301,neutral,5086842.968120549
2020-12-02,78,0.02687797267378067,0.006826957383031962,neutral,5289837.887034756
2020-12-03,78,0.014093962652576675,0.015538896170289807,positive,5513393.912448352
2020-12-04,78,0.03573792019342603,0.014605690091423318,neutral,5746101.941211649
2020-12-07,86,-0.030670898015102033,-0.005346851886408044,neutral,6337353.759081708
2020-12-08,86,-0.0019775697310688845,0.0028945427379629685,negative,6561991.412007441
