,Interest Score,HST,SPY,XTN,sentiment,Principal Component 1,S&P 500 Daily Movement
2020-04-13,68,-0.04198152866548055,-0.009130152528647795,-0.03397853400117612,neutral,-8176662.995047726,neg
2020-04-14,68,0.00262924920003349,0.029492870836560936,0.01625118848375795,neutral,-8147800.521816799,pos
2020-04-15,68,-0.014860063711115368,-0.021248101052656954,-0.021248656917420505,neutral,-8122376.072733306,neg
2020-04-16,68,-0.023957448695370198,0.004824295401707923,-0.009400223383479345,neutral,-8092318.448700399,pos
2020-04-17,68,0.0336363532326438,0.027015436689475925,0.0332128620978267,neutral,-8059206.748017085,pos
2020-04-20,65,-0.050131899785519685,-0.017617980925449972,-0.02995842872509613,negative,-7975353.579210088,neg
2020-04-21,65,-0.02222220063700142,-0.030363251195576146,-0.013976531184719754,neutral,-7949415.572911207,neg
2020-04-22,65,0.005681767382406999,0.022194540612888725,0.00022858530291558488,neutral,-7920453.413860807,pos
2020-04-23,65,0.017890822608762624,-7.172888144824086e-05,0.014400024414062518,neutral,-7886780.961206939,neg
2020-04-24,65,0.026827007455686225,0.013938708741589423,0.01960340042690567,neutral,-7854432.442004729,pos
2020-04-27,57,0.04234227902722476,0.014418442077481775,0.035359082301018585,neutral,-7773839.807134681,pos
2020-04-28,57,0.010371641203479331,-0.004598421399664487,0.02070440239691651,neutral,-7749229.083933034,neg
2020-04-29,57,0.07527802788954974,0.026178490817010847,0.03994144415728296,neutral,-7722725.85053428,pos
2020-04-30,57,-0.020684111497200397,-0.009310666581320293,-0.033983483657055835,neutral,-7693475.36385689,neg
2020-05-01,57,-0.07067431434421412,-0.026473430702838252,-0.03351375061758555,neutral,-7658510.535015188,neg
2020-05-04,53,-0.028846148235173064,0.0027582260890697263,-0.016584114854675924,neutral,-7582781.176412194,pos
2020-05-05,53,-0.012601205578282482,0.00923932379841541,0.007446345898469486,neutral,-7558219.926630492,pos
2020-05-06,53,-0.04010943695052338,-0.006778721915009722,-0.012608735457710574,neutral,-7533618.754324243,neg
2020-05-07,53,0.04938276077400672,0.01206681680134114,0.020035308207730473,neutral,-7506147.38705278,pos
2020-05-08,53,0.0009049980732327434,0.0165461967700673,0.04036259136582454,neutral,-7479297.674987781,pos
2020-05-11,54,-0.08047019073744288,0.00020516194122843778,-0.009751062515843456,neutral,-7416017.89892813,pos
2020-05-12,54,-0.03343167650317169,-0.01993157802483969,-0.03163625258778824,neutral,-7393048.350828838,neg
2020-05-13,54,-0.038657183864722944,-0.01768586558320595,-0.027477291739983922,neutral,-7372606.336113622,neg
2020-05-14,54,0.06243387984086857,0.011967311946537107,0.0031145581150660018,neutral,-7345728.4467342235,pos
2020-05-15,54,0.001992077474070042,0.004596966533256808,-0.0062097755233829766,neutral,-7320985.528524907,pos
2020-05-18,52,0.17097407968299327,0.030459694208066823,0.07587586714978789,neutral,-7256046.377366814,pos
2020-05-19,52,-0.019524579579792256,-0.010271182302701298,-0.012860380494893131,neutral,-7235056.134278864,neg
